nr,user,etappe,start,laenge,hoehenmeter,fahrzeit,grad,intro,strecke,weblink
18,AnnaKeuschnigg,Mayrhofen - Lanersbach,Mayrhofen,15 km,900 m,3 h,mittelschwierig,"Die als mittelschwierig eingestufte Bike Trail Tirol Etappe führt von Mayrhofen in den hintersten Teil des Zillertals nach Lanersbach. Auf asphaltierten Wegen und gut ausgebauten Forststraßen sind auf einer Streckenlänge von 15 Kilometern 900 Höhenmeter zu bewältigen. Am Ziel, auf 1.280 Metern Seehöhe, wartet das Traumpanorama der Tuxer Alpen.","Vom Musikpavillon in Mayrhofen fährt man rund 100 Meter in westlicher Richtung und zweigt dann links ab in die Hauptstraße des Zentrums. Nach etwa einem halben Kilometer überquert man den Bach und fährt halbrechts in die Tuxerstraße bis zur Bundesstraße. Nun folgt man den Straßenschildern Richtung Ginzling, bis rechts ein schmaler Asphaltweg nach „Finkenberg Tux“ abzweigt. Auf diesem geht es nun aufwärts bis nach Finkenberg, bis man wieder die Hauptstraße nach Tux erreicht. Auf dieser geht es in zwei Kehren bergwärts ehe man rechts Richtung Astegg abzweigt. Die Strecke führt nun einen knappen Kilometer ansteigend aber talauswärts bis zur Pension Gletscherblick, wo man scharf links („Mittelstation“) abzweigt. In weiterer Folge hält man sich an die Wegweiser „Lanersbach“. Es geht ansteigend bis auf 1.500 Metern Seehöhe (kurze Schiebestrecke durch die Wiesen, 28a) und danach auf Forststraßen abwärts bis nach Vorderlanersbach.",https://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-mayrhofen-lanersbach
19,rafael-i6k,Lanersbach - Geiseljoch - Weerberg,Lanersbach,28 km,1.090 m,5 h,schwierig,"Die als schwierig eingestufte Bikestrecke verlangt mit 1.100 Höhenmetern einiges an Kondition ab. Die Fahrt über das Geiseljoch, einer der schönsten Übergänge Tirols, belohnt mit einem herrlichen Panorama über die Gletscher der Tuxer Alpen im Süden und mit einer langen Abfahrt nach Innerst, ein Weiler von Weerberg.","Etappenstart ist beim großen Dorfwegweiser im Zentrum an der Hauptstraße. Von hier radelt man entlang der Route 422 in Kehren aufwärts bis zur Abzweigung „Geiseljoch“. Diesen Schildern bzw. den Radwegweisern (Nr. 424) folgt man nun bis zum Übergang auf 2.292 Metern Seehöhe (3,5 Stunden ab Vorderlanersbach). Auf der Nordseite folgt man dem Weg (eventuell schieben) bis zur Nafingalm und Weidener Hütte. Nun kann man auf einer gut ausgebauten Forststraße die Abfahrt bis nach Innerst genießen (vom Geiseljoch bis Innerst immer der Route 403 folgen). Weiter geht es immer auf der Talstraße auswärts bis nach Weerberg (zwei Stunden ab Geiseljoch).",https://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-lanersbach-geiseljoch-weerberg
20,Tabernig,Weerberg - Windegg,Weerberg,22 km,940 m,4 h 30 min,mittelschwierig,"Vom Ausgangspunkt Weerberg führt die Weg überwiegend über Schotter- und teilweise über schmale Asphaltstraßen. Gute Kondition ist für die 900 Höhenmeter Voraussetzung. Die 23 Kilometer lange und mittelschwierige Mountainbike-Strecke verläuft über Gartlach in Richtung Kolsassberg weiter in das Wattental und Voldertal nach Windegg, dem Etappenziel.","Von der Kirche geht es die ersten Kilometer in einer rasanten Abfahrt hinunter nach Weer. Beim Weererwirt wechselt man links auf die Dorfstraße und radelt in westlicher Richtung nach Kolsass. Hier folgt man nun der Straße nach Kolsassberg und zweigt nach dem ersten Anstieg nach circa 700 Metern rechts ab (584 Gartlachrunde). Nach einer kurzen flachen Passage im Wohngebiet geht es jetzt auf dieser Route über 200 Höhenmeter ansteigend bis zur Jausenstation Gartlach (ab Weerberg ca. 1,5 Stunden). Auf den nächsten 1,5 Kilometern kann man sich wieder etwas erholen. Es geht auf der Zufahrtsstraße Richtung Westen, bis man die Kehre der Straße auf den Wattenberg erreicht. Von nun an geht es immer ansteigend an den Hängen des Wattentales einwärts, vorbei am Gasthof Mühle, bis man kurz danach rechts zum Gasthaus Säge abzweigt (1,5 Stunden ab Gartlach). Hier wird der Bach überquert und man radelt auf der anderen Talseite auswärts in den Weiler Ried. Hier folgt ein kurzer Anstieg, ehe man die Abzweigung nach Großvolderberg nimmt. Nun hält man sich auf dieser Route ins Voldertal bis Volderwildbad. Kurz danach geht´s rechts ab nach Windegg. Nach kurzem Anstieg auf einem Forstweg erreicht man diesen herrlich über dem Inntal gelegenen Weiler mit seinem markanten Holzkirchlein (ab Gasthof Säge etwa 1,5 Stunden).",https://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-weerberg-windegg
21,SandraLeutner,Windegg - Matrei,Windegg,27 km,520 m,3 h,mittelschwierig,"Windegg, Ausgangspunkt und gleichzeit höchster Punkt dieser Tour, führt zur Gänze auf Asphaltstraßen bis nach Matrei am Brenner. Während der 27 Kilometer langen Tour genießen Sie nicht nur einen herrlichen Blick auf Innsbruck, sondern passieren auch die malerische Gemeinde Rinn mit ihrer bekannten Kirche, sowie die Orte Sistrans, Lans und Patsch.","Vom Gasthaus Windegg geht es über die Asphaltstraße hinunter nach Tulfes. Im Ort zweigt man links auf die Straße nach Rinn/Sistrans ab. Leicht auf und ab verläuft die Strecke durch Wiesen und Felder nach Rinn bis zum Kreisverkehr vor Sistrans. Hier zweigt man halblinks ab und erreicht nach einem weiteren Kilometer das Dorf (1 Stunde ab Windegg). Kurz vor der Kirche beim Dorfcafe geht es rechts ab nach Lans, wo man sich im Dorf an den Wegweiser Igls hält und 70 Meter danach nach Patsch abzweigt. Nun folgt ein Anstieg bis zur Olympia Bob- und Rodelbahn. Fast eben geht es weiter bis zur Abzweigung nach Innsbruck. Hier fährt man geradeaus weiter, vorbei am Grünwalderhof und gleich danach links nach Patsch. Auf dieser Straße radelt man bis ins Etappenziel. Auf den Westhängen des Wipptals fährt man durch die Streusiedlung Ellbögen zwischen Wiesen und Wäldchen, bis man zuerst Pfons und kurz danach Matrei erreicht (2 Stunden ab Sistrans).",https://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-windegg-matrei
22,SarahRasi,Matrei - Mieders,Matrei,13 km,740 m,3 h,mittelschwierig,"Eine steile Auffahrt, eine einsame Kirche und schließlich eine lange Schotterabfahrt charakterisieren diese malerische Strecke, die Sie mit einer Länge von 13 Kilometern vom Wipptal über das Waldraster Jöchl in das Stubaital bringt. Erstes Etappenziel ist die Kirche Maria Waldrast. Auf 1.640 Metern gelegen zählt es zu den am höchsten gelegenen Klöstern Europas. Das Gasthaus neben der Kirche lädt zu Einkehr.",Die Strecke steigt sofort nach der Abzweigung von der Bundesstraße an (MTB Route 508). In zwei kleinen Serpentinen geht es zunächst vorbei an den letzten Häusern von Matrei/Mühlbachl hinauf zur Mautstation (Mautpflicht nur für PKW). Die nächsten Kilometer verlaufen immer ansteigend mit einigen Kehren durch einen schönen Wald bis zur Wallfahrtskirche von Maria Wadrast (2h 15min ab Matrei). Nach der Einkehr im Gasthaus hat man noch knapp 100 Höhenmeter hinauf zum Waldraster Jöchl zu bewältigen. Auf einer Forststraße (558) geht es auf der anderen Seite hinunter ins Stubai bis nach Mieders (1h ab Maria Waldrast).,https://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-matrei-maria-waldrast-mieders
23,csnwolf,Mieders - Mutters,Mieders,20 km,900 m,3 h 30 min,mittelschwierig,"Genügend Zeit zum Aufwärmen haben Sie auf dieser 20 Kilometer langen Strecke, denn die ersten Kilometer führen erst einmal abwärts, ehe der Anstieg erfolgt. Kondition ist für die Auffahrt zur Raitiser Alm nötig. Von dort aus geht es aber nahezu eben zur Mutterer Alm und weiter talwärts nach Mutters.","Zunächst begibt man sich auf der Straße etwa 600 Meter taleinwärts. Bei der ersten größeren Kreuzung fährt man Richtung Innsbruck/Telfes und unterquert die Bundesstraße. Immer geradeaus abwärts geht es bis zur Ruetz, dem Bach durchs Stubaital. Nach der Brücke zweigt man rechts ab (563) und fährt talauswärts durch Wiesen. Die Schilder „563 Telfer Wiesen Tour“ führen den Biker in Folge etwas ansteigend bis zu den Bahngleisen der Stubaitalbahn. Dort zweigt man rechts ab und radelt entlang der Telfer Wiesen bis nach Kreith (1h ab Mieders). Vor den ersten Häusern radelt man im spitzen Winkel links auf dem Fahrweg zur Kreither Alm (511) hinauf. Kurz vor der Kreither Alm auf ca. 1450m Seehöhe zweigt man rechts auf den „Almenweg“ ab. Nun radelt man vorbei an der Raitiser Alm weiter zur Mutterer Alm (510) (2h ab Kreith). Hier beginnt die Abfahrt über mehrere Kehren hinunter nach Mutters (30min ab der Mutterer Alm).",https://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-mieders-mutters
25,geo6371,Sellrain - Kühtai - Oetz,Sellrain,35 km,1.110 m,4 h,mittelschwierig,"Der Ausgangspunkt dieser Route liegt knapp über 900 Metern Höhe und führt über die Sellrainer Straße bis zum höchsten Punkt dieser Etappe ins Kühtai auf 2.020 Metern. Wenn dieser anspruchsvolle Teil geschafft ist, geht es talwärts bis nach Oetz. Begleitet werden Sie auf den knapp 35 Kilometern von einem beeindruckenden Panorama.",Auf dieser Etappe kann man sich nicht verfahren. Man radelt zunächst taleinwärts über Gries und St. Sigmund nach Kühtai (3 Stunden ab Sellrain). Auf der anderen Seite der Passhöhe auf 2.020 Metern Seehöhe geht es in einer rasanten Abfahrt hinab nach Oetz.,https://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-sellrain-kuehtai-oetz
27,annakarolinv,Imst - Venetalm - Wenns,Imst,22 km,1.290 m,5 h,schwierig,"Von Imst aus startet diese als schwer eingestufte Etappe und verbindet das Inntal mit dem Pitztal. Höhepunkt auf dieser Strecke – im wahrsten Sinne des Wortes wie auch in der Herausforderung – ist die knapp unter 2.000 Metern gelegene Venetalm, die Sie über eine steil ansteigende Schotterstraße erreichen. Dafür belohnt die Tour mit einem herrlichen Rundblick.","Kurz nach der Kirche biegt man in südwestlicher Richtung in eine Nebenstraße ab und radelt auf dieser ca. 400 Meter bis zur Abzweigung Brennbichl (bei Supermarkt). Nun geht es zum Inntalradweg (620) und auf diesem durch das Gewerbegebiet, später kurz auf der Straße über Inn und Autobahn nach Imst Au, von wo aus der Anstieg beginnt. Auf der asphaltierten Straße geht es durch Imsterberg. Von nun an folgt man immer den Wegweisern „Venetalm“ (604). Nach einigen Kehren im Wald erreicht man den lang gezogenen Bergrücken mit der herrlich gelegenen Venetalm (ca. 4 Stunden ab Imst). Von der Alm fährt man auf dem gleichen Weg etwa 200 Meter zurück und zweigt dann rechts Richtung Wenns (640) ab. In Folge hält man sich immer an den gelben Wegweisern nach Wenns (1 Stunde ab der Venetalm).",https://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-imst-venetalm-wenns
28,marcelharing,Wenns - Pillerhöhe - Landeck,Wenns,19 km,630 m,3 h,mittelschwierig,"Auf der Strecke von rund 19 Kilometern überwinden Sie 600 Höhenmeter, die Sie zu etwa zwei Dritteln auf asphaltierten Radwegen und zu einem Drittel auf Schotter- und Wanderwegen bzw. Pfaden zurücklegen. Höchster Punkt der Etappe, die das Pitztal mit dem Oberinntal verbindet, ist die Pillerhöhe auf 1.560 Metern Höhe.","Vom Zentrum fährt man zunächst etwa 300 Meter auf der Straße zur Pillerhöhe Richtung Süden ehe man die Abzweigung nach Obermühlbach nimmt. Auf einem asphaltierten Nebenweg radelt man etwas oberhalb der Straße taleinwärts. Wieder auf der Passstraße angekommen folgt man dieser bis zur Pillerhöhe (ca. 1,5 Stunde ab Wenns). Vom Pass nimmt man zuerst die Straße Richtung Fließ, zweigt jedoch nach 50 Metern links in einen Forstweg ab. Nach einem guten Kilometer trifft man wieder auf die Straße und fährt in gleicher Richtung bis ins Dorfzentrum von Fließ. Von hier fährt man in westlicher Richtung auf der gut beschilderten Via Claudia Augusta auf Wiesenhängen über dem Inntal bis nach Landeck (1,5 Stunde ab Pillerhöhe).",https://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-wenns-pillerhoehe-landeck
29,asboehle,Landeck - Ischgl,Landeck,33 km,1.250 m,5 h,schwierig,Diese anspruchsvolle Etappe bringt Sie von der historischen Alpenstadt Landeck durch das Paznauntal in den actiongeladenen Ort Ischgl. 33 Kilometer und 1.250 zu überwindende Höhenmeter erfordern Können und Kondition. Dafür erwarten Sie auf dieser Strecke interessante und abwechslungsreiche Trails.,"Vom Zentrum Landecks fährt man kurz auf der Hauptstraße Richtung Süden, ehe man auf der Holzbrücke den Inn überquert. Hier folgt man den grünen Radwegweisern Richtung Zams, vorbei am Gerichtsgebäude bis man bei einem gelben Wanderwegweiser links Richtung Zirmegg abzweigt. Nun folgt man einem asphaltierten Zufahrtsweg aufwärts, bis man die Straße nach Tobadill erreicht. Auf dieser geht es weiter bergan nach Tobadill (1 Stunde ab Landeck). Insgesamt radelt man weiterhin mehr ansteigend als abwärts bis in den Weiler Hintergiggl. Dort verlässt man die Asphaltstraße und es geht auf einer Schiebestrecke „Rundwanderweg See-Dorf“ auf einem Waldweg zum Weiler Frodenegg. Nun folgt man den gelben Schildern auf der Zufahrtstraße bis nach See hinunter (1 Stunde 15 Minuten ab Tobadill). Im Dorf radelt man 400 Meter auf der Talstraße einwärts, bis man rechts zum Parkplatz der Bergbahnen See abzweigt. Hier führt die Strecke kurz talauswärts ansteigend auf der Bikeroute 743. Schon nach ein paar hundert Metern zweigt man aber links in den Paznauner Talweg (Bikeroute 737) ab. Den meist gelben Hinweisschildern folgt man nun am Sonnenhang bis Kappl (1,5 Stunden ab See). Weiter führt die Etappe am Sonnenhang entlang auf dem Radweg Kappl-Ischgl (741) bis ins Zentrum von Ischgl (1 Stunde 15 Minuten ab Kappl).",https://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-landeck-ischgl
30,AnnaKlara123,Ischgl - St. Anton,Ischgl,42 km,1.290 m,6 h,schwierig,Spaß und Abwechslung ist auf dieser Etappe garantiert – dafür müssen sich Mountainbiker aber auch anstrengen. Die als schwer eingestufte Etappe führt über 42 Kilometer. Von Asphalt über Schotter und Pfade bis hin zu Schiebestrecken ist alles dabei. Dazu gibt es eine herrliche Aussicht auf die Dreitausender der Samnaun-Gruppe und auf die Verwallgruppe.,"Am westlichen Ortsende von Ischgl wechselt man über die Brücke auf den Talwanderweg und bleibt auf diesem bis zum Weiler Mathon. Hier wiederum zweigt man am westlichen Ortsende links ab („Galtür“). Den Wegweisern bis nach Galtür folgen. Auf Höhe des Zentrums, aber auf der nördlichen Bachseite, zweigt man rechts auf den Paznauner Talweg ab. Die Strecke wird nun merklich steiler und man erreicht in weiterer Folge die Landesgrenze zu Vorarlberg am Zeinisjoch (2 Stunden ab Ischgl). Nun radelt man vorbei am Kops Stausee und orientiert sich nach einer kurzen Abfahrt hinter dem See an den Wegweisern „Heilbronner Hütte“. Der Fahrweg steigt nun wieder an und es geht vorbei an der Verbella Alpe bis man die schon lange gut sichtbare Heilbronner Hütte (2.320 Meter) erreicht (2 Stunden  ab dem Zeinisjoch). Kurz danach bei den Scheidseen beginnt eine etwa 3 Kilometer lange Schiebestrecke hinab ins Schönverwalltal. Nun geht es immer dem Forstweg talauswärts entlang, vorbei an der Abzweigung zur Konstanzer Hütte bis zur Abzweigung bei der Salzhütte, wo man den Bach auf die rechte Seite überquert. Nun fährt man einen guten Kilometer am Verwall Stausee entlang, ehe man wieder links zum Rasthaus Verwall und zur asphaltierten Talstraße abzweigt. Auf dieser bleibt man bis man das Ziel bei der Kreuzung zur Arlberg Bundesstraße erreicht (2 Stunden ab der Heilbronner Hütte).",https://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-ischgl-st-anton
31,elisakuntner,St. Anton - Steeg,St. Anton am Arlberg,35 km,750 m,3 h,mittelschwierig,"Auf dieser 35 Kilometer langen Strecke fahren Sie ausschließlich auf Asphaltwegen und überwinden dabei 750 Höhenmeter, wobei mit dem Arlbergpass die höchste Steigung gleich zu Beginn auf Sie wartet. Begleitet werden Sie auf dieser Etappe von schönen Panoramen und stets neuen Einblicken.","In etwa eineinviertel Stunden erreicht man über die Arlbergstraße St. Christoph kurz vor dem Pass. Danach geht es etwa 3 Kilometer abwärts bis zur Abzweigung der Straße nach Zürs und Lech. Durch Lawinengalerien aufwärts radelt man zum Flexenpass, danach wieder leicht abwärts zuerst durch Zürs und weiter über Lech nach Warth (1 Stunde 45 Minuten ab St. Christoph). Hier zweigt man beim Kreisverkehr rechts auf die Lechtalbundesstraße Richtung Reutte ab und bleibt auf dieser bis Steeg (45 Minuten ab Warth). Achtung: Für die Fahrt durch die Lawinengalerien ist eine Beleuchtung des Rades notwendig!",https://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-st-anton-steeg
32,marlene353,Imst - Marienbergjoch - Ehrwald,Imst,37 km,1.380 m,6 h,schwierig,"Die als schwer eingestufte Strecke von Imst über das Marienbergjoch nach Ehrwald führt Sie auf mehrheitlich geschotterten Wegen über 37 Kilometer an den Fuß der Zugspitze. 1.380 Höhenmeter werden dabei überwunden, was Kondition und Durchhaltevermögen verlangt. Nach dieser anspruchsvollen Etappe genießen Sie den Blick auf die gewaltige Zugspitze im Osten, im Süden blenden die Schneefelder der Mieminger Kette und des Wettersteingebirges.","Zunächst hält man sich am Radwegweiser „5 Gurgltal“. Die Strecke verläuft den ersten Kilometer entlang des Gurglbachs und in Folge fährt man auf der gleichen Straße Richtung „Imst Zentrum“ weiter. Erst am nördlichen Stadtrand gelangt man wieder auf den Radwanderweg Nr. 5. Alternativ dazu kann die Stadt am Talboden auf dem Radweg umfahren werden. Auf den nächsten knapp 10 Kilometern bleibt man immer auf dem Radweg, der am Rande des Talbodens meist im Wald verläuft (5). Erst bei Erreichen der Straßenkehre zweigt man links Richtung Nassereith ab. Kurz vor der Ortschaft unterquert man die Bundesstraße auf dem Radwanderweg Nr. 4. Rechts vorbei am Hubschrauberlandeplatz fährt man in den Ortsteil Dormitz (1,5 Stunden ab dem Start) und weiter auf einer asphaltierten Straße ins Roßbachtal. Auf ca. 980m Seehöhe zweigt man scharf links ab „605 Marienbergjoch“ und gelangt nach einem Anstieg in den Weiler Aschland. Einen knappen Kilometer nach dem kleinen Dorf sollte man die Abzweigung links auf das Marienbergjoch nicht verpassen. Nun geht es durch einen Wald teilweise steil aufwärts vorbei an der Marienberg Alm auf das Marienbergjoch (3 Stunden ab Dormitz). Es folgt eine zunächst recht steile Abfahrt durch das Schigebiet bis kurz vor die Straße nach Biberwier, wo man auf den „Lärchenweg“ wechselt. Auf dem Panoramaweg radelt man nun leicht bergauf und -ab nach Ehrwald (1,5 Stunden ab Marienbergjoch).",https://www.tirol.at/reisefuehrer/sport/radfahren/biketouren/a-bike-trail-tirol-imst-marienbergjoch-ehrwald
